,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
10490,nysd,1-16-cv-01549-CM,b'd18ce1952c7e3f3df1b183b3',06/13/2016,1,495
10491,nysd,1-16-cv-09093-KPF,b'aec0c964c64e05a2c62df32c',12/23/2016,1,22
10492,nysd,1-16-cv-04066-WHP,b'059b06e2fbd90a37590adde4',06/01/2016,0,8
10493,nysd,1-16-cv-08090-CM,b'd18ce1952c7e3f3df1b183b3',10/17/2016,-1,495
10494,nysd,1-16-cv-05653-ER-AJP,b'fd933f11cbbf4f5c0d07d8bf',07/15/2016,0,18
10495,nysd,1-16-cv-02186-LAP,b'0cd78a3eb05b0d5393c72df7',04/01/2016,1,255
10496,nysd,1-16-cv-04641-LAP,b'0cd78a3eb05b0d5393c72df7',11/30/2015,-1,255
10497,nysd,1-16-cv-09000-CM,b'd18ce1952c7e3f3df1b183b3',12/08/2016,1,495
10498,nysd,1-16-cv-09637-CM,b'd18ce1952c7e3f3df1b183b3',01/12/2017,-1,495
10499,nysd,1-16-cv-05962-CM,b'd18ce1952c7e3f3df1b183b3',10/05/2016,1,495
10500,nysd,1-16-cv-09309-LGS-SN,b'aa65622271084a7db1a8883a',01/23/2017,1,17
10501,nysd,1-16-cv-08578-CM,b'd18ce1952c7e3f3df1b183b3',11/29/2016,1,495
10502,nysd,1-16-cv-09063-VSB-KHP,b'62dd92ebf3bcc004acbdf6c3',11/28/2016,1,14
10503,nysd,1-16-cv-10031-TPG,b'd0147d2ba7eb7ce6de443f9e',02/06/2017,1,5
10504,nysd,1-16-cv-08275-SHS,b'cfc699208b0a269c79c28308',04/13/2017,-1,5
10505,nysd,1-16-cv-09314-CM,b'd18ce1952c7e3f3df1b183b3',12/02/2016,1,495
10506,nysd,1-16-cv-09551-CM,b'd18ce1952c7e3f3df1b183b3',01/03/2017,1,495
10507,nysd,1-16-cv-00297-GBD-BCM,b'ff4aead0aa458a7b7b3788dd',01/19/2016,1,17
10508,nysd,7-16-cv-08328-NSR,b'9120b54ba8315783fe2820b9',10/28/2016,-1,32
10509,nysd,1-16-cv-01838-LAP,b'0cd78a3eb05b0d5393c72df7',04/11/2016,1,255
10510,nysd,1-16-cv-00897-LAP,b'0cd78a3eb05b0d5393c72df7',02/10/2016,1,255
10511,nysd,1-16-cv-01839-LAP,b'0cd78a3eb05b0d5393c72df7',04/25/2016,1,255
