,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
17180,flsd,0-16-cv-62923-WPD,b'92cbd5113398df69fdd3ce6d',12/13/2016,1,62
17181,flsd,2-16-cv-14375-KAM,b'75e5d7ca75ba8143252ec5e0',04/03/2018,-1,47
17182,flsd,1-16-cv-24853-KMW,b'c7259a2986bfc07fab814bbd',12/12/2016,1,49
17183,flsd,2-16-cv-14403-RLR,b'3fd9af44fa8d3843eee56b5c',09/19/2016,1,89
17184,flsd,1-16-cv-23902-MGC,b'ec6eca6373f7612635ba26f0',01/13/2017,1,61
17185,flsd,1-16-cv-21951-DPG,b'bbac25ed9ecfbcaa096d29a7',06/17/2016,1,22
17186,flsd,1-16-cv-23843-JAL,b'9c1527f9e745b997e32d9117',09/14/2016,-1,34
17187,flsd,1-16-cv-22556-FAM,b'327f467cfbe0e24dd2df6973',01/09/2017,1,42
17188,flsd,1-16-cv-21699-FAM,b'327f467cfbe0e24dd2df6973',05/19/2017,-10,42
17189,flsd,9-16-cv-80909-WPD,b'92cbd5113398df69fdd3ce6d',10/24/2016,1,62
17190,flsd,1-16-cv-22731-FAM,b'327f467cfbe0e24dd2df6973',08/29/2016,-10,42
17191,flsd,0-16-cv-60303-WJZ,b'6f644f624679c9c93c1a8abf',07/25/2016,1,48
17192,flsd,9-16-cv-81182-RLR,b'3fd9af44fa8d3843eee56b5c',07/01/2016,0,89
17193,flsd,1-16-cv-20839-MGC,b'ec6eca6373f7612635ba26f0',03/28/2016,1,61
17194,flsd,1-16-cv-21547-JAL,b'9c1527f9e745b997e32d9117',05/03/2016,-1,34
17195,flsd,1-16-cv-24814-AMS,b'4258f39e59463830819377e8',11/19/2016,1,5
17196,flsd,0-16-cv-61600-KMW,b'c7259a2986bfc07fab814bbd',08/16/2016,-1,49
17197,flsd,2-16-cv-14251-KMM,b'cab16b5f7b2d41dd8121d2a9',06/01/2017,-1,31
17198,flsd,1-16-cv-22264-FAM,b'327f467cfbe0e24dd2df6973',08/18/2016,-1,42
17199,flsd,2-16-cv-14188-JEM,b'6ee6cadbf433d46b5346e06c',10/13/2017,1,60
17200,flsd,0-16-cv-60716-WJZ,b'6f644f624679c9c93c1a8abf',04/06/2016,1,48
17201,flsd,2-16-cv-14457-DLG,b'60c89b51b0d5cad023c4f41f',02/14/2017,-1,11
17202,flsd,9-16-cv-80613-BB,b'4fbaba9741cb0e958a71fff9',04/20/2016,-1,60
17203,flsd,2-16-cv-14379-RLR,b'3fd9af44fa8d3843eee56b5c',08/29/2016,1,89
17204,flsd,1-16-cv-24582-KMW,b'c7259a2986bfc07fab814bbd',11/03/2016,-10,49
17205,flsd,1-16-cv-21615-UU,b'3f9008f4d37d34987035a5c8',05/10/2016,1,40
17206,flsd,0-16-cv-60811-KMW,b'c7259a2986bfc07fab814bbd',04/15/2016,1,49
17207,flsd,1-16-cv-22172-RNS,b'0867e6ee44264fa71135214d',08/01/2016,-1,35
17208,flsd,0-16-cv-62408-BB,b'4fbaba9741cb0e958a71fff9',10/11/2016,0,60
17209,flsd,1-16-cv-22144-KMM,b'cab16b5f7b2d41dd8121d2a9',11/03/2017,-10,31
17210,flsd,4-16-cv-10066-JLK,b'b739d072b8dfcdd61a8ab559',08/25/2016,1,23
17211,flsd,1-16-cv-23556-UU,b'3f9008f4d37d34987035a5c8',09/26/2016,-1,40
17212,flsd,9-16-cv-80474-KAM,b'75e5d7ca75ba8143252ec5e0',05/06/2016,1,47
17213,flsd,2-16-cv-14067-KAM,b'75e5d7ca75ba8143252ec5e0',04/11/2016,1,47
17214,flsd,1-16-cv-20515-RNS,b'0867e6ee44264fa71135214d',02/23/2016,1,35
17215,flsd,1-16-cv-21714-JEM,b'6ee6cadbf433d46b5346e06c',07/07/2016,1,60
17216,flsd,1-16-cv-24527-MGC,b'ec6eca6373f7612635ba26f0',12/14/2016,-1,61
17217,flsd,1-16-cv-22448-MGC,b'ec6eca6373f7612635ba26f0',11/01/2017,1,61
17218,flsd,1-16-cv-23585-FAM,b'327f467cfbe0e24dd2df6973',09/02/2016,1,42
17219,flsd,1-16-cv-20339-UU,b'3f9008f4d37d34987035a5c8',02/11/2016,-1,40
17220,flsd,0-16-cv-62638-PCH,b'27ff64bba6fde380f8481a4b',11/17/2016,-1,4
17221,flsd,0-16-cv-62620-BB,b'4fbaba9741cb0e958a71fff9',11/17/2016,1,60
17222,flsd,1-16-cv-24846-FAM,b'327f467cfbe0e24dd2df6973',11/21/2016,1,42
17223,flsd,0-16-cv-62699-BB,b'4fbaba9741cb0e958a71fff9',11/17/2016,-1,60
17224,flsd,1-16-cr-20753-CMA,b'9d73a22ba372133895768dcd',08/10/2018,1,49
17225,flsd,2-16-cv-14199-KMM,b'cab16b5f7b2d41dd8121d2a9',08/15/2016,-1,31
17226,flsd,1-16-cv-21029-JLK,b'b739d072b8dfcdd61a8ab559',05/06/2016,1,23
17227,flsd,0-16-cv-61569-AOV,b'79d0cd320b5c58b4cb770feb',07/07/2016,1,10
17228,flsd,0-16-cv-61944-LSS,b'175f120f88213f6c9bfd298a',08/16/2016,1,3
